question_id,question,expected_answer,answer,answer_correctness,context_precision,context_recall,faithfulness,status
0,What is the estimated total monthly payment in the Projected Payments section?,1869.37,"The estimated total monthly payment in the Projected Payments section is $2,308.95.",0.0,0.9999999999666667,0.0,0.0,complete
1,What interest rate is being offered?,4.25%,4.25%,1.0,0.36666666664833336,1.0,1.0,complete
2,What will the monthly principal and interest payment be?,1869.37,"$1,869.37",1.0,0.9999999999666667,1.0,1.0,complete
3,What is the sale price of the home being purchased on the Loan Estimate?,475000,"$475,000",1.0,0.99999999995,1.0,1.0,complete
4,How much cash does the buyer need to bring to closing?,95802,"The buyer needs to bring $95,802 to closing.",0.6666666666666666,0.5833333333041666,1.0,1.0,complete
5,What are the total estimated closing costs on the Loan Estimate?,5802,"$5,802",1.0,0.499999999975,1.0,1.0,complete
6,Where is the property located that is being purchased?,"1254 Main Street, San Diego, CA 92110","The property is located at 1254 Main Street, San Diego, CA 9210x.",0.6666666666666666,0.249999999975,1.0,1.0,complete
7,How long is the loan term?,30 years,30 years,1.0,0.249999999975,1.0,1.0,complete
8,"What type of loan is this — conventional, FHA, or VA?",Conventional,Conventional.,1.0,0.9999999999,0.0,0.0,complete
9,Is the rate fixed or adjustable?,Fixed Rate,The rate is fixed.,1.0,0.99999999995,1.0,1.0,complete
10,Is there a prepayment penalty on this loan?,NO,NO,1.0,0.9999999999,1.0,1.0,complete
11,Does the Loan Estimate indicate a balloon payment?,NO,No.,1.0,0.6666666666333333,1.0,1.0,complete
12,Can the interest rate go up after closing?,NO,The answer cannot be determined from the supplied contexts.,0.0,0.5833333333041666,1.0,0.0,complete
13,Who are the applicants on this loan?,John Q. Smith and Mary A. Smith,John Q. Smith and Mary A. Smith.,1.0,0.99999999995,1.0,1.0,complete
14,"Is the interest rate locked, and if so until when?","YES, until 01/20/2015","Yes, the interest rate is locked until 01/20/2015.",1.0,0.9999999999,1.0,1.0,complete
15,What is the estimated monthly amount for property taxes on the Loan Estimate?,440,$400.00,0.0,0.9999999999,1.0,1.0,complete
16,Are property taxes and insurance being escrowed?,NO,"No, property taxes and insurance are not being escrowed.",0.8,0.9999999999,1.0,1.0,complete
17,What is the total of all loan costs on page 2?,4055,"$4,055",1.0,0.99999999995,1.0,1.0,complete
18,How much are the other costs in the closing breakdown?,1747,"The other costs in the closing breakdown are $1,747.",1.0,0.49999999995,1.0,1.0,complete
